conf_ini;rep_ini;rcp_ini;paso;rh0;pozo
0.7;-0.5;-0.1;0;0.44144249631162275;-922.6979999999994
0.7;-0.5;-0.1;1;0.450845931207174;-1816.006000000183
0.7;-0.5;-0.1;2;0.4567021726478424;-2692.7540000001422
0.7;-0.5;-0.1;3;0.46137333866599056;-3557.3080000000173
0.7;-0.5;-0.1;4;0.46500402022331166;-4406.7239999996555
0.7;-0.5;-0.1;5;0.46792183833818707;-5249.509999998888
0.7;-0.5;-0.1;6;0.470330470533441;-6086.555999998127
0.7;-0.5;-0.1;7;0.4724139432535543;-6919.489999997368
0.7;-0.5;-0.1;8;0.474125110645412;-7744.78799999662
0.7;-0.5;-0.1;9;0.4756488605755957;-8563.123999996416
0.7;-0.5;-0.1;10;0.4770615516723866;-9377.22599999686
0.7;-0.5;-0.1;11;0.47853759764220966;-10184.689999997285
0.7;-0.5;-0.1;12;0.4799431471711355;-10988.757999997708
0.7;-0.5;-0.1;13;0.48124339339785066;-11788.993999998112
0.7;-0.5;-0.1;14;0.4825263805491691;-12585.19599999851
0.7;-0.5;-0.1;15;0.48381079114419334;-13372.931999998882
0.7;-0.5;-0.1;16;0.48520168536848096;-14156.551999999234
0.7;-0.5;-0.1;17;0.4866608231713673;-14934.405999999573
0.7;-0.5;-0.1;18;0.48824758087055614;-15708.765999999889
0.7;-0.5;-0.1;19;0.4897796712403741;-16475.76000000057
0.7;-0.5;-0.1;20;0.49134982092919466;-17236.49800000326
0.7;-0.5;-0.1;21;0.49307825258100574;-17991.390000006
0.7;-0.5;-0.1;22;0.49465785847947785;-18740.966000008724
0.7;-0.5;-0.1;23;0.4964838288716862;-19485.782000011437
0.7;-0.5;-0.1;24;0.498175373164973;-20221.136000014114
0.7;-0.5;-0.1;25;0.4999677936417848;-20950.894000016768
0.7;-0.5;-0.1;26;0.5017310254861435;-21674.512000019407
0.7;-0.5;-0.1;27;0.5035609097285888;-22390.834000022012
0.7;-0.5;-0.1;28;0.5054068338548006;-23096.96200002457
0.7;-0.5;-0.1;29;0.5073485001322376;-23797.406000027127
0.7;-0.5;-0.1;30;0.5093598149372321;-24492.34800002964
0.7;-0.5;-0.1;31;0.5113123175220504;-25178.954000032143
0.7;-0.5;-0.1;32;0.513386307510188;-25857.640000034608
0.7;-0.5;-0.1;33;0.5155446184729157;-26526.28200003704
0.7;-0.5;-0.1;34;0.5177179466370335;-27193.054000039487
0.7;-0.5;-0.1;35;0.5197308359539347;-27850.09800004186
0.7;-0.5;-0.1;36;0.5219306911226627;-28500.464000044238
0.7;-0.5;-0.1;37;0.5241144182584079;-29139.098000046564
0.7;-0.5;-0.1;38;0.5263901550713204;-29773.30600004886
0.7;-0.5;-0.1;39;0.5286249970177125;-30392.96800005112
0.7;-0.5;-0.1;40;0.5309412162253668;-31008.39400005336
0.7;-0.5;-0.1;41;0.5332172235408056;-31618.102000055547
0.7;-0.5;-0.1;42;0.53550010062586;-32219.79600005758
0.7;-0.5;-0.1;43;0.5377214032226756;-32813.71800005906
0.7;-0.5;-0.1;44;0.540011993152152;-33401.17000006017
0.7;-0.5;-0.1;45;0.5423213360706588;-33979.948000061035
0.7;-0.5;-0.1;46;0.5446580602315474;-34552.50200006188
0.7;-0.5;-0.1;47;0.5468843602615532;-35114.598000062775
0.7;-0.5;-0.1;48;0.5491744747101353;-35670.04000006374
0.7;-0.5;-0.1;49;0.5514131332431704;-36215.68600006477
0.7;-0.5;-0.1;50;0.5536811517746828;-36754.64200006587
0.7;-0.5;-0.1;51;0.5560044985682385;-37285.23400006705
0.7;-0.5;-0.1;52;0.5584403576227291;-37806.6860000683
0.7;-0.5;-0.1;53;0.5608782787416979;-38321.74600006959
0.7;-0.5;-0.1;54;0.5631832233114058;-38828.68400007093
0.7;-0.5;-0.1;55;0.5654927112584599;-39330.42600007233
0.7;-0.5;-0.1;56;0.5676921405582529;-39825.89600007379
0.7;-0.5;-0.1;57;0.5699923986760383;-40310.23200007529
0.7;-0.5;-0.1;58;0.5722679922344978;-40785.44200007687
0.7;-0.5;-0.1;59;0.5745615854611708;-41253.588000078475
0.7;-0.5;-0.1;60;0.5767951504261777;-41713.072000080225
0.7;-0.5;-0.1;61;0.5790796626872886;-42167.31200008196
0.7;-0.5;-0.1;62;0.5813325766132658;-42612.84400008373
0.7;-0.5;-0.1;63;0.5836033395956797;-43051.294000085574
0.7;-0.5;-0.1;64;0.585814345362254;-43481.39000008748
0.7;-0.5;-0.1;65;0.5880826200222584;-43907.762000089424
0.7;-0.5;-0.1;66;0.590331025813902;-44326.36600009138
0.7;-0.5;-0.1;67;0.5925159911912357;-44736.72600009346
0.7;-0.5;-0.1;68;0.5947133789980853;-45140.25200009555
0.7;-0.5;-0.1;69;0.596817317872471;-45537.108000097694
0.7;-0.5;-0.1;70;0.5989526671908717;-45925.224000099915
0.7;-0.5;-0.1;71;0.6010713336518877;-46308.09000010216
0.7;-0.5;-0.1;72;0.6031987546967583;-46682.272000104414
0.7;-0.5;-0.1;73;0.6053235548782522;-47049.90200010678
0.7;-0.5;-0.1;74;0.6074042338139174;-47408.80200010917
0.7;-0.5;-0.1;75;0.6094272265725678;-47761.67800011159
0.7;-0.5;-0.1;76;0.6114414079445489;-48108.44000011412
0.7;-0.5;-0.1;77;0.6134684959325449;-48447.308000116675
0.7;-0.5;-0.1;78;0.6155679256680222;-48781.14600011923
0.7;-0.5;-0.1;79;0.6175769808998215;-49107.59600012185
0.7;-0.5;-0.1;80;0.6195878652809266;-49428.598000124504
0.7;-0.5;-0.1;81;0.6215404662530898;-49742.184000127294
0.7;-0.5;-0.1;82;0.6235982562345198;-50048.212000130065
0.7;-0.5;-0.1;83;0.625589125644341;-50350.41800013284
0.7;-0.5;-0.1;84;0.6274592772101399;-50644.846000135665
0.7;-0.5;-0.1;85;0.6293374193635328;-50936.582000138515
0.7;-0.5;-0.1;86;0.6311592701954665;-51219.78600014141
0.7;-0.5;-0.1;87;0.6330762176551433;-51496.85600014441
0.7;-0.5;-0.1;88;0.6349848501402707;-51766.61400014742
0.7;-0.5;-0.1;89;0.6368191769904777;-52030.964000150496
0.7;-0.5;-0.1;90;0.6387160520170597;-52284.39800015357
0.7;-0.5;-0.1;91;0.6405784332582439;-52536.980000156684
0.7;-0.5;-0.1;92;0.642413974801294;-52780.75000015987
0.7;-0.5;-0.1;93;0.6442548235407283;-53019.654000163086
0.7;-0.5;-0.1;94;0.646079808372412;-53250.98600016633
0.7;-0.5;-0.1;95;0.647898760410427;-53477.2080001696
